,object_id,address1,address2,city,zip_code,state_code,country_code,latitude,longitude
157,c:102068,1170 Howell Mill Road,Suite. 210,Atlanta,30318,GA,USA,0.0,0.0
158,c:102082,342 E St Joseph Street,,Indianapolis,46202,IN,USA,0.0,0.0
159,c:102098,70 Blanchard Road,,Burlington,01803,PA,USA,0.0,0.0
160,c:1021,"35 Main Street, Suite 441",,Poughkeepsie,12601,NY,USA,41.705555,-73.938638
161,c:10214,5005 Plainfield St. NE,Ste. B,Grand Rapids,49525,MI,USA,43.0530176,-85.5950353
162,c:102156,4420 Metric Dr,Suite C,Winter Park,32792,FL,USA,0.0,0.0
163,c:10216,,,Des Moines,50322,IA,USA,41.630492,-93.733354
164,c:10218,,,0,0,CA,USA,0.0,0.0
165,c:102184,1134 Hennigan St,,Scranton,18512,PA,USA,0.0,0.0
166,c:102196,,,Seattle,0,WA,USA,0.0,0.0
167,c:1022,,,0,0,0,USA,37.09024,-95.712891
168,c:102204,11 Prosperity Way Corporation,2880 Zanker Road Ste 203,San Jose,95134,CA,USA,0.0,0.0
169,c:10221,3350 Geoffrey Drive,,San Bruno,94066,CA,USA,0.0,0.0
170,c:10224,4807 Spicewood Springs Road,"Building 2, Suite 118",Austin,78759,TX,USA,30.379593,-97.765313
171,c:10226,"2121 Avenue of the Stars,",Suite 1250,Los Angeles,90067,CA,USA,34.054259,-118.414064
172,c:10228,10145 Pacific Heights Boulevard,Suite 400,San Diego,92121,CA,USA,0.0,0.0
173,c:102294,,,Dallas,0,TX,USA,0.0,0.0
174,c:102295,2323 Bryan Street,Suite 2100,Dallas,75201,TX,USA,32.786964000000005,-96.7942267
175,c:102300,383 Madison Avenue,,New York,10179,NY,USA,0.0,0.0
176,c:102311,815 1st Ave 375,,Seattle,98104,WA,USA,0.0,0.0
177,c:10234,5729 Lebanon Road,Suite 144-128,Frisco,75034,TX,USA,0.0,0.0
178,c:10236,1065 Westridge Avenue,,Danville,94526,CA,USA,0.0,0.0
179,c:102396,,,Chicago,0,IL,USA,0.0,0.0
180,c:102413,349 5th Avenue,,New York,10016,NY,USA,0.0,0.0
181,c:102425,100 Innovative Way,Suite 3321,Nashua,03062,NH,USA,0.0,0.0
182,c:10243,,,0,0,CA,USA,0.0,0.0
183,c:10244,,,Los Gatos,95030,CA,USA,37.228232,-121.987122
184,c:102447,1300 S El Camino Real,Suite 600,San Mateo,94402,CA,USA,37.554796,-122.3171871
185,c:102449,"999 N. Sepulveda Blvd., Ste. 100",,El Segundo,90245,CA,USA,0.0,0.0
186,c:102468,3825 Hopyard Rd,Suite 150,Pleasanton,94588,CA,USA,0.0,0.0
187,c:102497,200 Park Avenue South,Ste 1301,New York,10003,NY,USA,0.0,0.0
