object_id,last_funding_round_type,funding_rounds_count,number_of_participants
c:13162,angel,1,0
c:131664,series-a,5,0
c:13168,series-b,2,5
c:13169,venture,1,0
c:1317,angel,1,1
c:13174,series-a,1,1
c:13175,other,6,8
c:13178,venture,1,1
c:1318,series-b,2,5
c:13180,series-b,4,5
c:1319,other,5,8
c:13199,series-a,2,2
c:132,series-a,1,1
c:1320,series-a,1,0
c:132037,series-a,1,1
c:13204,venture,5,3
c:13207,series-a,2,2
c:1321,angel,1,2
c:132127,series-c+,3,6
c:13213,angel,1,1
c:13214,angel,1,1
c:13215,angel,1,1
c:13217,series-a,1,0
c:13219,private-equity,4,17
c:1322,series-c+,3,6
c:13226,venture,1,2
c:132329,venture,1,1
c:132379,angel,1,0
c:13245,venture,4,9
c:13246,post-ipo,1,0
c:132471,series-a,1,0
c:132476,venture,3,4
c:1325,series-c+,5,19
c:13252,venture,1,1
c:1326,series-c+,3,9
c:13260,series-a,2,5
c:13262,other,3,4
c:13263,series-c+,5,13
c:13266,venture,1,7
c:13267,venture,5,1
c:13270,series-a,2,4
c:13274,series-a,1,0
c:13276,series-c+,2,4
c:13277,series-a,1,1
c:1328,series-b,3,7
c:132832,angel,1,1
c:13285,angel,1,0
c:132868,angel,2,13
c:132877,venture,1,0
c:1329,series-b,2,5
c:13290,angel,1,1
c:1330,angel,1,1
c:13303,angel,1,0
c:133258,venture,3,9
c:133277,venture,2,6
c:133291,series-a,2,2
c:13333,angel,1,1
c:13341,venture,1,1
c:133412,venture,1,1
c:133421,venture,1,0
c:1335,venture,1,0
c:13356,venture,1,1
c:13358,angel,1,1
c:1336,venture,1,1
c:13362,series-a,5,1
c:13365,series-c+,5,22
c:133774,series-b,3,11
c:13389,venture,1,3
c:133930,angel,1,0
c:134,series-a,2,3
c:13400,angel,1,0
c:13408,series-a,1,2
c:134081,angel,2,1
c:13410,venture,2,2
c:134145,series-a,2,10
c:134153,private-equity,3,3
c:1342,series-b,2,5
c:134280,angel,2,0
c:1343,private-equity,5,5
c:13431,series-a,1,0
c:134342,angel,1,4
c:1344,series-a,1,8
c:134443,angel,1,1
c:1345,venture,4,10
c:13455,angel,1,2
c:13456,series-b,1,2
c:1346,angel,1,1
c:13460,other,2,3
c:13461,venture,4,5
c:13464,other,2,1
c:13465,series-c+,1,3
c:13471,venture,1,2
c:134719,venture,3,0
c:134766,venture,1,2
c:134775,private-equity,2,1
c:134778,venture,1,1
c:13478,series-a,2,0
c:1348,venture,6,13
c:1349,venture,4,12
c:135,other,2,2
c:1350,series-c+,3,8
c:135029,angel,1,1
c:135035,angel,1,1
c:13504,series-a,1,2
c:13506,angel,1,0
c:13510,venture,1,0
c:13512,series-a,1,2
c:135129,angel,1,3
c:135134,venture,4,11
c:135147,angel,1,0
c:135162,angel,2,4
c:13517,angel,1,0
c:135188,angel,1,1
c:13519,series-a,1,1
c:1352,venture,3,11
c:135202,angel,1,0
c:135205,angel,2,2
c:13527,series-c+,1,2
c:13529,venture,1,0
c:1353,venture,1,2
c:135326,venture,5,4
c:13533,venture,1,1
c:135356,angel,2,5
c:13539,series-b,2,4
c:13540,angel,1,1
c:13544,other,1,3
c:13545,venture,4,6
c:135512,angel,1,6
c:135515,series-a,3,11
c:13552,series-b,1,1
c:13555,series-a,1,0
c:135594,angel,1,1
c:13560,other,1,1
c:13561,venture,3,6
c:13565,angel,1,1
c:13567,angel,1,0
c:13570,venture,1,3
c:135824,series-a,1,3
c:13589,venture,4,9
c:13590,series-c+,5,11
c:13593,venture,1,1
c:13604,venture,6,28
c:136044,angel,3,7
c:136162,series-a,1,0
c:1363,series-a,2,0
c:136363,series-a,4,1
c:1364,venture,7,6
c:13640,series-a,2,5
c:13645,other,9,23
c:136461,venture,1,0
c:136471,angel,1,3
c:136493,venture,1,1
c:136495,venture,1,1
c:136499,venture,1,1
c:1365,series-b,2,5
c:13653,angel,1,0
c:136550,venture,1,1
c:136603,angel,1,0
c:13662,series-c+,5,16
c:136625,series-a,1,2
c:136640,venture,1,1
c:136648,venture,1,1
c:13667,angel,1,0
c:136682,venture,2,0
c:136699,angel,1,0
c:1367,series-b,4,6
c:13671,venture,1,2
c:136715,venture,1,1
c:13672,angel,1,1
c:136725,angel,1,0
c:13675,venture,1,2
c:13679,series-c+,7,10
c:1368,series-b,2,3
c:13680,series-c+,4,14
c:13681,series-c+,4,8
c:136849,angel,2,2
c:136854,series-a,1,4
c:13686,series-c+,6,7
c:13688,venture,1,1
c:136926,venture,2,2
c:136956,venture,2,0
